phrasal_verb|translation|exportedAt|status|knownAt|s1|s2|s3
bring along|взять с собой|2026-04-02|learning||Can I **bring along** a friend?|She **brought along** some snacks.|**Bring along** an umbrella, it might rain.
build up|нарастить; накопить|2026-04-02|learning||He **built up** his business over ten years.|Stress **builds up** if you don't rest.|She **built up** her confidence slowly.
burn down|сгореть; сжечь|2026-04-02|learning||The house **burned down** last night.|Someone **burned down** the old barn.|The factory **burned down** completely.
burn out|выгореть; перегореть|2026-04-02|learning||The light bulb **burned out**.|She **burned out** from working too hard.|Don't **burn** yourself **out** with overtime.
calm down|успокоиться|2026-04-02|learning||**Calm down**, everything is fine.|She **calmed down** after a cup of tea.|It took him an hour to **calm down**.
call up|позвонить; призвать в армию|2026-04-02|learning||I'll **call** you **up** tonight.|He was **called up** to serve in the army.|She **called up** an old friend.
catch up|наверстать; встретиться|2026-04-02|learning||I need to **catch up** on my reading.|Let's **catch up** over coffee.|She's trying to **catch up** with the class.
clean out|вычистить; опустошить|2026-04-02|learning||I need to **clean out** the garage.|The burglars **cleaned out** the shop.|She **cleaned out** her old desk.
close down|закрыться навсегда|2026-04-02|learning||The shop **closed down** last year.|They **closed down** the factory.|The restaurant **closed down** due to debts.
come down|снизиться; спуститься|2026-04-02|learning||Prices have **come down** this month.|She **came down** the stairs slowly.|House prices **came down** after the crisis.
cross out|зачеркнуть|2026-04-02|learning||**Cross out** any mistakes on the form.|She **crossed out** the wrong answer.|He **crossed out** his old address.
die out|вымереть; исчезнуть|2026-04-02|learning||Many species are **dying out**.|That tradition has almost **died out**.|The dinosaurs **died out** long ago.
do over|переделать|2026-04-02|learning||The teacher made him **do** it **over**.|I wish I could **do** that day **over**.|She had to **do** the report **over**.
do up|застегнуть; отремонтировать|2026-04-02|learning||**Do up** your coat, it's cold.|They **did up** the old house.|She **did up** her buttons quickly.
dress up|нарядиться|2026-04-02|learning||She **dressed up** for the party.|The kids love to **dress up** as pirates.|You don't need to **dress up**, it's casual.
eat out|есть вне дома|2026-04-02|learning||We **eat out** every Friday.|Let's **eat out** tonight.|They rarely **eat out** during the week.
fall off|уменьшиться; упасть с|2026-04-02|learning||Sales have **fallen off** this quarter.|The boy **fell off** his bike.|Interest in the topic **fell off** quickly.
fight back|дать отпор; сдержать слёзы|2026-04-02|learning||She **fought back** against the bullies.|He **fought back** tears during the speech.|The team **fought back** and won the game.
fix up|отремонтировать; организовать|2026-04-02|learning||We **fixed up** the old kitchen.|Can you **fix** me **up** with a meeting?|He **fixed up** the car himself.
go without|обойтись без|2026-04-02|learning||She had to **go without** lunch today.|We can't **go without** water for long.|He **went without** sleep for two days.
help out|помочь; выручить|2026-04-02|learning||Can you **help** me **out** with this?|She always **helps out** at the school.|He **helped out** when we needed him.
hold off|откладывать; выждать|2026-04-02|learning||Let's **hold off** on the decision.|They **held off** the attack for hours.|Can you **hold off** until tomorrow?
keep out|не входить; не допускать|2026-04-02|learning||**Keep out**! This area is dangerous.|The fence **keeps out** stray dogs.|Close the door to **keep out** the cold.
log in|войти в систему|2026-04-02|learning||Please **log in** with your password.|I can't **log in** to my account.|She **logged in** from her phone.
log out|выйти из системы|2026-04-02|learning||Don't forget to **log out** after use.|She **logged out** of all her accounts.|Always **log out** on public computers.
look down on|смотреть свысока|2026-04-02|learning||Don't **look down on** other people.|She **looks down on** anyone without a degree.|He never **looked down on** his colleagues.
make off|удрать|2026-04-02|learning||The thief **made off** with the cash.|They **made off** before the police came.|He **made off** in a stolen car.
opt out|отказаться от участия|2026-04-02|learning||You can **opt out** of the newsletter.|She **opted out** of the project.|Many students **opted out** of the trip.
own up|признаться|2026-04-02|learning||Nobody **owned up** to breaking the window.|He finally **owned up** to his mistake.|**Own up** if you did something wrong.
pass by|проходить мимо|2026-04-02|learning||I **pass by** the shop every day.|A bus **passed by** without stopping.|She **passed by** without noticing me.
phase out|постепенно прекратить|2026-04-02|learning||They are **phasing out** the old system.|The company **phased out** plastic packaging.|Old models will be **phased out** next year.
pull together|действовать сообща|2026-04-02|learning||The team **pulled together** after the loss.|We need to **pull together** on this project.|Everyone **pulled together** during the crisis.
put forward|предложить идею|2026-04-02|learning||She **put forward** a new plan.|He **put forward** his name for the role.|They **put forward** several ideas.
put through|соединить по телефону; подвергнуть|2026-04-02|learning||Can you **put** me **through** to the manager?|She was **put through** a difficult test.|They **put** him **through** a long interview.
put up|повесить; приютить|2026-04-02|learning||We **put up** some new shelves.|She **put** us **up** for the night.|They **put up** a sign on the door.
rip off|обмануть; содрать|2026-04-02|learning||That shop **ripped** me **off**!|Don't let them **rip** you **off**.|She felt **ripped off** by the price.
rule out|исключить возможность|2026-04-02|learning||The doctor **ruled out** anything serious.|We can't **rule out** the possibility.|Police have **ruled out** foul play.
run down|раскритиковать; иссякнуть|2026-04-02|learning||Stop **running down** your colleagues.|The battery has **run down**.|She always **runs** him **down** behind his back.
run up|набрать долг|2026-04-02|learning||He **ran up** a huge phone bill.|She **ran up** debts while at university.|Don't **run up** charges on my card.
see through|довести до конца; раскусить|2026-04-02|learning||I'll **see** this project **through**.|She **saw through** his lies immediately.|He promised to **see** it **through** to the end.
send off|отправить|2026-04-02|learning||She **sent off** the letter this morning.|I need to **send off** this package.|He **sent off** his application yesterday.
set back|задержать; обойтись в сумму|2026-04-02|learning||The delay **set** us **back** two weeks.|The repair **set** me **back** 500 pounds.|Bad weather **set back** the construction.
set in|наступить (о чём-то плохом)|2026-04-02|learning||Winter has **set in** early this year.|Panic **set in** when the lights went out.|Doubt **set in** after the first failure.
shop around|сравнивать цены|2026-04-02|learning||Always **shop around** before you buy.|She **shopped around** for the best deal.|It pays to **shop around** for insurance.
stand up to|давать отпор|2026-04-02|learning||She **stood up to** the bully at school.|You need to **stand up to** your boss.|He finally **stood up to** his critics.
sum up|подвести итог|2026-04-02|learning||Let me **sum up** the main points.|She **summed up** the meeting in two minutes.|To **sum up**, we need more time.
switch off|выключить|2026-04-02|learning||**Switch off** the light before you leave.|She **switched off** her phone at night.|Don't forget to **switch off** the heater.
switch on|включить|2026-04-02|learning||**Switch on** the fan, it's hot.|He **switched on** the computer.|She **switched on** the TV after dinner.
tag along|увязаться|2026-04-02|learning||Can I **tag along** with you?|Her little brother always **tags along**.|She **tagged along** on the trip.
take up|заняться; занимать место/время|2026-04-02|learning||She **took up** painting last year.|This table **takes up** too much space.|He **took up** running to stay fit.
tell apart|различить|2026-04-02|learning||I can't **tell** the twins **apart**.|How do you **tell** them **apart**?|It's hard to **tell** the copies **apart**.
throw out|выбросить; выгнать|2026-04-02|learning||**Throw out** those old magazines.|She **threw out** the leftovers.|He was **thrown out** of the club.
walk around|обойти; прогуляться|2026-04-02|learning||Let's **walk around** the city centre.|She **walked around** the park for an hour.|We **walked around** looking for the shop.
write back|ответить письменно|2026-04-02|learning||She **wrote back** the same day.|Please **write back** as soon as you can.|He never **wrote back** to my email.
get out of|избежать обязанности|2026-04-02|learning||He always tries to **get out of** doing chores.|She **got out of** the meeting somehow.|You can't **get out of** this one.
ask for|просить|2026-04-02|learning||She **asked for** a glass of water.|Don't be afraid to **ask for** help.|He **asked for** more time to finish.
abide by|соблюдать|2026-04-02|learning||You must **abide by** the rules.|Everyone should **abide by** the law.|She always **abides by** her promises.
account for|объяснять; составлять долю|2026-04-02|learning||How do you **account for** the missing money?|Online sales **account for** 40% of revenue.|He couldn't **account for** his absence.
brush aside|отмахнуться от|2026-04-02|learning||She **brushed aside** my concerns.|Don't **brush aside** his warnings.|The manager **brushed aside** the complaint.
carry away|увлечь|2026-04-02|learning||Don't get **carried away** with spending.|She got **carried away** by the music.|He gets **carried away** when he talks about football.
cave in|сдаться; обрушиться|2026-04-02|learning||The roof **caved in** under the snow.|She **caved in** after hours of arguing.|The tunnel **caved in** during the storm.
come over|зайти в гости; нахлынуть|2026-04-02|learning||Can you **come over** tonight?|A feeling of sadness **came over** her.|He **came over** for dinner on Sunday.
cut in|вмешаться; подрезать|2026-04-02|learning||Sorry to **cut in**, but I have a question.|A car **cut in** right in front of me.|She **cut in** while I was speaking.
depend on|зависеть от|2026-04-02|learning||It **depends on** the weather.|You can **depend on** her for help.|The result **depends on** many factors.
fade away|затухнуть; исчезнуть|2026-04-02|learning||The music slowly **faded away**.|His smile **faded away** when he heard the news.|Old traditions are **fading away**.
get around|обойти правило; передвигаться|2026-04-02|learning||She always finds a way to **get around** the rules.|It's easy to **get around** the city by bus.|News **gets around** fast in a small town.
get back to|вернуться к; перезвонить|2026-04-02|learning||I'll **get back to** you on that.|Let's **get back to** the main topic.|She promised to **get back to** me by Friday.
go along with|согласиться с|2026-04-02|learning||I'll **go along with** your plan.|She decided to **go along with** the group.|He didn't want to **go along with** the idea.
keep up|поддерживать; не отставать|2026-04-02|learning||**Keep up** the good work!|She tried to **keep up** with the runners.|It's hard to **keep up** this pace.
let go|отпустить|2026-04-02|learning||Just **let go** of the rope.|She finally **let go** of the past.|He can't **let go** of his old habits.
let off|отпустить без наказания|2026-04-02|learning||The judge **let** him **off** with a warning.|They **let off** fireworks at midnight.|She was **let off** because it was her first time.
look out for|присматривать за; быть начеку|2026-04-02|learning||**Look out for** that dog, it bites.|She always **looks out for** her younger brother.|I'll **look out for** you at the station.
pass on|передать; скончаться|2026-04-02|learning||Can you **pass on** the message?|She **passed on** the recipe to her daughter.|He **passed on** his skills to the team.
plug in|подключить|2026-04-02|learning||**Plug in** the charger, the battery is low.|She **plugged in** the laptop.|Is the printer **plugged in**?
run through|пробежаться по; просмотреть|2026-04-02|learning||Let me **run through** the plan quickly.|She **ran through** her notes before the talk.|Can we **run through** the agenda?
settle in|обустроиться; привыкнуть|2026-04-02|learning||Are you **settling in** at your new job?|It took a week to **settle in** to the new flat.|The kids **settled in** quickly at the new school.
show around|провести экскурсию|2026-04-02|learning||Let me **show** you **around** the office.|She **showed** us **around** the city.|He was **shown around** by the manager.
slip away|ускользнуть|2026-04-02|learning||She **slipped away** from the party early.|Time **slips away** so quickly.|The chance **slipped away** before he noticed.
stick out|выступать; терпеть|2026-04-02|learning||His ears **stick out** a lot.|She decided to **stick** it **out** until the end.|That detail really **sticks out**.
stick up for|заступиться за|2026-04-02|learning||She always **sticks up for** her friends.|Nobody **stuck up for** him at the meeting.|You need to **stick up for** yourself.
talk over|обсудить|2026-04-02|learning||Let's **talk** it **over** before we decide.|She **talked** the plan **over** with her boss.|We need to **talk** this **over** calmly.
think through|продумать|2026-04-02|learning||**Think** it **through** before you answer.|She **thought through** all the options.|Have you **thought** this **through** properly?
track down|выследить; разыскать|2026-04-02|learning||Police **tracked down** the suspect.|I finally **tracked down** the book I needed.|She **tracked down** an old school friend online.
try on|примерить|2026-04-02|learning||Can I **try on** this jacket?|She **tried on** five dresses.|**Try** these shoes **on** before you buy them.
try out|попробовать|2026-04-02|learning||I want to **try out** this new restaurant.|She **tried out** for the school play.|Let's **try out** the new software.
turn away|отвернуться; отказать|2026-04-02|learning||They **turned away** hundreds of people.|She **turned away** in disgust.|The hotel **turned** us **away** because it was full.
vouch for|ручаться за|2026-04-02|learning||I can **vouch for** his honesty.|She **vouched for** the quality of the product.|He'll **vouch for** me if you ask him.
zone out|отключиться мысленно|2026-04-02|learning||Sorry, I **zoned out** for a second.|She tends to **zone out** during long meetings.|He **zoned out** while watching TV.
nod off|задремать|2026-04-02|learning||I **nodded off** during the film.|The old man **nodded off** in his chair.|Don't **nod off** in class!
pop in|заглянуть ненадолго|2026-04-02|learning||I'll **pop in** after work.|She **popped in** to say hello.|Feel free to **pop in** anytime.
root for|болеть за|2026-04-02|learning||We're all **rooting for** you!|She **roots for** the local team.|I'll be **rooting for** you at the match.
tip off|предупредить; дать наводку|2026-04-02|learning||Someone **tipped off** the police.|She was **tipped off** about the sale.|A neighbour **tipped** them **off**.
tone down|смягчить|2026-04-02|learning||Can you **tone down** the music a bit?|She **toned down** her speech.|He was asked to **tone down** his comments.
put across|донести мысль|2026-04-02|learning||She **put across** her ideas clearly.|He struggled to **put** his point **across**.|The teacher **puts** the material **across** well.
spell out|разъяснить; произнести по буквам|2026-04-02|learning||Let me **spell out** what I mean.|She **spelled out** the rules for everyone.|Do I have to **spell** it **out** for you?
snap out of|выйти из состояния|2026-04-02|learning||**Snap out of** it, you need to focus!|She finally **snapped out of** her bad mood.|He couldn't **snap out of** his sadness.
pick up on|заметить; уловить|2026-04-02|learning||She **picked up on** his nervousness.|I didn't **pick up on** the hint.|He quickly **picked up on** the new system.
come apart|распасться; развалиться|2026-04-02|learning||The old book **came apart** in my hands.|The toy **came apart** after one day.|Their plan **came apart** quickly.
go about|приступить к; заниматься|2026-04-02|learning||How do you **go about** finding a job?|She **went about** her daily routine.|What's the best way to **go about** this?
act up|барахлить; плохо себя вести|2026-04-02|learning||My computer is **acting up** again.|The kids **acted up** during the trip.|Her knee **acts up** in cold weather.
add up|складываться; иметь смысл|2026-04-02|learning||The numbers don't **add up**.|Something about his story doesn't **add up**.|It all **adds up** to a big problem.
back down|отступить; уступить|2026-04-02|learning||He refused to **back down** in the argument.|She never **backs down** from a challenge.|The company **backed down** after the protests.
bail out|спасти; выручить|2026-04-02|learning||The government **bailed out** the bank.|She always **bails** me **out** when I'm in trouble.|He had to **bail** his friend **out** of jail.
beat up|избить|2026-04-02|learning||He was **beaten up** on the way home.|Stop **beating** yourself **up** over it.|The bullies **beat** him **up** after school.
blow out|задуть|2026-04-02|learning||She **blew out** the candles on the cake.|The tyre **blew out** on the motorway.|**Blow out** the candle before you leave.
boil down to|сводиться к|2026-04-02|learning||It all **boils down to** money.|The problem **boils down to** poor communication.|In the end, it **boils down to** trust.
bounce back|восстановиться|2026-04-02|learning||She **bounced back** quickly after the illness.|The economy is starting to **bounce back**.|He always **bounces back** from failure.
bump into|случайно встретить|2026-04-02|learning||I **bumped into** an old classmate today.|She **bumped into** him at the supermarket.|You never know who you'll **bump into**.
call out|вызвать; уличить|2026-04-02|learning||She **called** him **out** for his rude behaviour.|The doctor was **called out** at midnight.|He **called out** her name across the room.
catch on|понять; стать популярным|2026-04-02|learning||The new trend is **catching on** fast.|It took me a while to **catch on**.|The idea never **caught on** in Europe.
clear up|проясниться; убрать|2026-04-02|learning||The weather should **clear up** by noon.|Let me **clear up** this misunderstanding.|Can you **clear up** the kitchen?
cover up|скрыть|2026-04-02|learning||They tried to **cover up** the scandal.|She **covered up** her mistake.|Don't **cover up** the truth.
crop up|возникнуть неожиданно|2026-04-02|learning||Problems keep **cropping up**.|His name **crops up** in every meeting.|Something unexpected **cropped up** at work.
dawn on|осенить; дойти|2026-04-02|learning||It suddenly **dawned on** me that I was wrong.|The truth finally **dawned on** her.|It **dawned on** him that he'd been tricked.
drag on|тянуться|2026-04-02|learning||The meeting **dragged on** for three hours.|The winter **dragged on** endlessly.|The project has **dragged on** for months.
draw up|составить документ|2026-04-02|learning||The lawyer **drew up** the contract.|She **drew up** a plan for the project.|They **drew up** a list of candidates.
drop in|заглянуть|2026-04-02|learning||Feel free to **drop in** anytime.|She **dropped in** on her way home.|A friend **dropped in** unexpectedly.
follow up|проследить; довести|2026-04-02|learning||I'll **follow up** with an email.|She **followed up** on the complaint.|Don't forget to **follow up** after the interview.
get ahead|продвинуться|2026-04-02|learning||You need to study hard to **get ahead**.|She **got ahead** by working extra hours.|It's difficult to **get ahead** in this industry.
hand down|передать по наследству|2026-04-02|learning||The ring was **handed down** from her grandmother.|Knowledge is **handed down** through generations.|The judge **handed down** a harsh sentence.
head off|отправиться; предотвратить|2026-04-02|learning||We should **head off** before it gets dark.|She **headed off** the problem by acting early.|He **headed off** to the airport.
iron out|уладить; устранить|2026-04-02|learning||We need to **iron out** the details.|They **ironed out** their differences.|Let's **iron out** these problems before launch.
jot down|быстро записать|2026-04-02|learning||Let me **jot down** your number.|She **jotted down** a few notes.|He **jotted down** the address on a napkin.
keep at|упорно продолжать|2026-04-02|learning||**Keep at** it, you're almost there!|She **kept at** it until she finished.|If you **keep at** it, you'll improve.
lay down|установить правила; положить|2026-04-02|learning||She **laid down** the rules from day one.|He **laid down** his tools and rested.|The law **lays down** strict penalties.
leave behind|оставить позади|2026-04-02|learning||She **left behind** her old life.|Don't **leave** your phone **behind**.|He was **left behind** by the group.
lighten up|расслабиться; не принимать близко|2026-04-02|learning||**Lighten up**, it was just a joke!|She needs to **lighten up** a bit.|The mood **lightened up** after the music started.
live on|жить на; продолжать жить|2026-04-02|learning||He **lives on** a small pension.|Her memory **lives on** in our hearts.|They **live on** rice and vegetables.
narrow down|сузить выбор|2026-04-02|learning||We've **narrowed** it **down** to three options.|She **narrowed down** the list of candidates.|Can you **narrow down** the search?
open up|открыться; раскрыться|2026-04-02|learning||She finally **opened up** about her feelings.|A new restaurant **opened up** nearby.|He doesn't **open up** to people easily.
pile up|накопиться|2026-04-02|learning||Work is **piling up** on my desk.|The bills **piled up** while he was away.|Snow **piled up** overnight.
play down|преуменьшить|2026-04-02|learning||The company **played down** the risks.|She **played down** her achievements.|He tried to **play down** the seriousness.
reach out|обратиться; протянуть руку|2026-04-02|learning||Don't hesitate to **reach out** if you need help.|She **reached out** to old friends.|The company **reached out** to its customers.
round up|собрать; округлить|2026-04-02|learning||The teacher **rounded up** the students.|**Round up** the total to the nearest ten.|Police **rounded up** the suspects.
screw up|испортить; облажаться|2026-04-02|learning||I really **screwed up** this time.|Don't **screw** this **up** for us.|She **screwed up** the presentation.
shake off|стряхнуть; избавиться|2026-04-02|learning||She can't **shake off** this cold.|He **shook off** the feeling of doubt.|**Shake off** your worries and enjoy.
step in|вмешаться; заступить|2026-04-02|learning||The police had to **step in**.|She **stepped in** to help resolve the fight.|He **stepped in** as temporary manager.
step up|усилить; повысить|2026-04-02|learning||We need to **step up** our efforts.|She **stepped up** when the team needed her.|The company **stepped up** production.
stock up|запастись|2026-04-02|learning||We **stocked up** on food before the storm.|She **stocks up** on sale items.|Better **stock up** before winter.
tidy up|прибраться|2026-04-02|learning||**Tidy up** your room before the guests come.|She **tidied up** the living room.|Let's **tidy up** before we leave.
touch on|затронуть тему|2026-04-02|learning||The speaker **touched on** several key issues.|She barely **touched on** the main problem.|He **touched on** the topic briefly.
turn in|лечь спать; сдать|2026-04-02|learning||I'm tired, I'm going to **turn in**.|She **turned in** her homework on time.|He **turned in** early last night.
weigh up|взвесить; оценить|2026-04-02|learning||She **weighed up** the pros and cons.|He's **weighing up** his options.|**Weigh up** the risks before you decide.
flick through|пролистать; просмотреть|||||I'll just **flick through** this magazine.|She **flicked through** the book quickly.|He **flicked through** the documents.
look up in|найти в (словаре, справочнике)|||||I'll **look** the word **up in** a dictionary.|You can **look it up in** the index.|She **looked up in** the manual.
get on with|ладить с|||||I **get on with** my colleagues well.|She **gets on with** everyone.|How do you **get on with** your boss?
catch up with|догнать|||||Run faster to **catch up with** them.|I need to **catch up with** my friend.|She **caught up with** the leader at the finish.
be over|закончиться|||||The meeting **is over**.|When the rain **was over**, we left.|Their relationship **is over**.
run out of|закончиться (запасы)|||||We've **run out of** milk.|The car **ran out of** petrol.|She **ran out of** patience.
get down|расстраивать; угнетать|||||Don't let it **get** you **down**.|The bad weather **gets** her **down**.|This news really **got** me **down**.
look in|заглянуть; навестить|||||I'll **look in** on my grandmother tomorrow.|Could you **look in** at the office later?|She **looked in** for a few minutes.
look through|просмотреть; пролистать|||||She **looked through** the report carefully.|I **looked through** the photos.|He **looked through** the contract before signing.
look back|оглянуться; вспоминать|||||When I **look back**, I have no regrets.|Don't **look back** — keep moving forward.|She **looked back** on her childhood with joy.
look ahead|смотреть вперёд|||||We need to **look ahead** and plan.|It's time to **look ahead** to next year.|She always **looks ahead** in life.
get across|донести (мысль)|||||I tried to **get** my point **across**.|She found it hard to **get across** her idea.|He **got** the message **across** clearly.
drop out of|бросить (учёбу)|||||He **dropped out of** university last year.|She **dropped out of** the course.|Many students **drop out of** college.
put aside|отложить (в сторону)|||||She **put aside** her book and listened.|We must **put aside** our differences.|He **put aside** some money for emergencies.
cool down|остыть; успокоиться|||||Let me **cool down** before we talk.|The engine needs to **cool down**.|She **cooled down** after a few minutes.
dress down|одеваться неформально|||||Friday is when we **dress down** at work.|She **dressed down** for the casual event.|It's OK to **dress down** at home.
move on to|перейти к (другой теме)|||||Let's **move on to** the next point.|We need to **move on to** new business.|She **moved on to** a different project.
bring forward|перенести (на раньше); предложить|||||They **brought forward** the meeting to Monday.|She **brought forward** an interesting idea.|The deadline was **brought forward**.
come through|пережить; справиться|||||She **came through** the difficult times.|He **came through** the operation successfully.|We'll **come through** this together.
go under|обанкротиться; затонуть|||||The company **went under** last year.|Without funding, the project will **go under**.|The ship **went under** during the storm.
brighten up|скрасить; повеселеть|||||Flowers always **brighten up** the room.|She **brightened up** when she heard the news.|A coat of paint will **brighten up** this wall.
