phrase|type|translation|exportedAt|status|knownAt|s1|s2|s3|note
fed up with|adjective|сытый по горло|2026-04-09|learning|||I'm **fed up with** the traffic.|She is **fed up with** his excuses.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
fond of|adjective|любящий|2026-04-09|learning|||She is very **fond of** cats.|He is **fond of** reading.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
frightened of|adjective|напуганный чем-то|2026-04-09|learning|||She is **frightened of** dogs.|Are you **frightened of** heights?|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
furious about|adjective|в ярости из-за|2026-04-09|learning|||She was **furious about** the lie.|He was **furious about** the broken window.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
generous with|adjective|щедрый в|2026-04-09|learning|||She is **generous with** her time.|He is **generous with** money.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
good at|adjective|хороший в|2026-04-09|learning|||She is **good at** drawing.|He is **good at** fixing things.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
grateful for|adjective|благодарный за|2026-04-09|learning|||I'm **grateful for** your help.|She is **grateful for** the opportunity.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
guilty of|adjective|виновный в|2026-04-09|learning|||He was found **guilty of** theft.|She felt **guilty of** lying.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
happy about|adjective|счастливый из-за|2026-04-09|learning|||She is **happy about** the result.|I'm **happy about** the news.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
honest with|adjective|честный с|2026-04-09|learning|||Be **honest with** me.|She is always **honest with** her friends.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
hopeless at|adjective|безнадёжный в|2026-04-09|learning|||I'm **hopeless at** dancing.|She is **hopeless at** cooking.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
impressed with|adjective|впечатлён чем-то|2026-04-09|learning|||I was **impressed with** her work.|She was **impressed with** the hotel.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
interested in|adjective|заинтересованный в|2026-04-09|learning|||She is **interested in** art.|I'm **interested in** learning more.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
involved in|adjective|вовлечённый в|2026-04-09|learning|||She is **involved in** the project.|He got **involved in** the argument.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
jealous of|adjective|ревнивый к|2026-04-09|learning|||She is **jealous of** her friend.|Don't be **jealous of** others.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
keen on|adjective|увлечённый чем-то|2026-04-09|learning|||She is **keen on** photography.|He is **keen on** sports.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
kind to|adjective|добрый к|2026-04-09|learning|||She is always **kind to** everyone.|Be **kind to** animals.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
known for|adjective|известный чем-то|2026-04-09|learning|||He is **known for** his honesty.|The restaurant is **known for** its pasta.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
late for|adjective|опаздывать на|2026-04-09|learning|||I was **late for** the meeting.|She is always **late for** class.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
married to|adjective|женат/замужем за|2026-04-09|learning|||She is **married to** a pilot.|He got **married to** his girlfriend.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
nervous about|adjective|нервничающий из-за|2026-04-09|learning|||She is **nervous about** the interview.|I'm **nervous about** the exam.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
nice to|adjective|милый к|2026-04-09|learning|||Be **nice to** your sister.|She is always **nice to** everyone.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
opposed to|adjective|против|2026-04-09|learning|||She is **opposed to** the idea.|Many people are **opposed to** the plan.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
pleased with|adjective|довольный чем-то|2026-04-09|learning|||She is **pleased with** her results.|I'm **pleased with** the progress.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
polite to|adjective|вежливый к|2026-04-09|learning|||Be **polite to** your guests.|She is always **polite to** strangers.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
popular with|adjective|популярный среди|2026-04-09|learning|||This game is **popular with** children.|She is **popular with** her classmates.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
prepared for|adjective|подготовленный к|2026-04-09|learning|||She is **prepared for** the worst.|Are you **prepared for** the test?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
proud of|adjective|гордый чем-то|2026-04-09|learning|||I'm **proud of** my children.|She is **proud of** her achievement.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
ready for|adjective|готовый к|2026-04-09|learning|||Are you **ready for** the exam?|She is **ready for** a change.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
related to|adjective|связанный с|2026-04-09|learning|||This problem is **related to** the budget.|She is **related to** the manager.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
relevant to|adjective|относящийся к|2026-04-09|learning|||This is not **relevant to** the topic.|Her experience is **relevant to** the job.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
responsible for|adjective|ответственный за|2026-04-09|learning|||She is **responsible for** the project.|He is **responsible for** cleaning.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
rude to|adjective|грубый к|2026-04-09|learning|||Don't be **rude to** the staff.|She was **rude to** the waiter.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
sad about|adjective|грустный из-за|2026-04-09|learning|||I'm **sad about** the news.|She was **sad about** leaving.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
safe from|adjective|в безопасности от|2026-04-09|learning|||The children are **safe from** danger.|We are **safe from** the storm here.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
satisfied with|adjective|удовлетворённый чем-то|2026-04-09|learning|||I'm **satisfied with** the result.|She is **satisfied with** her job.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
scared of|adjective|напуганный чем-то|2026-04-09|learning|||She is **scared of** the dark.|Are you **scared of** dogs?|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
serious about|adjective|серьёзно относиться к|2026-04-09|learning|||She is **serious about** her studies.|Are you **serious about** this?|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
short of|adjective|нехватка чего-то|2026-04-09|learning|||We are **short of** time.|The shop is **short of** milk.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
shy of|adjective|стесняющийся|2026-04-09|learning|||She is **shy of** speaking in public.|He is **shy of** new people.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
sick of|adjective|надоевший|2026-04-09|learning|||I'm **sick of** this weather.|She is **sick of** waiting.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
similar to|adjective|похожий на|2026-04-09|learning|||This is **similar to** what I had before.|Her style is **similar to** mine.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
skilled at|adjective|умелый в|2026-04-09|learning|||She is **skilled at** negotiation.|He is **skilled at** carpentry.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
sorry about|adjective|сожалеющий о|2026-04-09|learning|||I'm **sorry about** the delay.|She is **sorry about** what happened.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
sorry for|adjective|жалеть кого-то|2026-04-09|learning|||I feel **sorry for** him.|She felt **sorry for** the lost dog.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
successful in|adjective|успешный в|2026-04-09|learning|||She was **successful in** her career.|He is **successful in** business.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
suitable for|adjective|подходящий для|2026-04-09|learning|||This film is **suitable for** children.|The flat is **suitable for** two people.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
superior to|adjective|превосходящий|2026-04-09|learning|||This phone is **superior to** the old one.|She felt **superior to** her colleagues.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
sure about|adjective|уверенный в|2026-04-09|learning|||Are you **sure about** that?|I'm not **sure about** the answer.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
surprised at|adjective|удивлённый чем-то|2026-04-09|learning|||I was **surprised at** the result.|She was **surprised at** his reaction.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
suspicious of|adjective|подозрительный к|2026-04-09|learning|||She is **suspicious of** his motives.|The police are **suspicious of** the man.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
terrible at|adjective|ужасный в|2026-04-09|learning|||I'm **terrible at** singing.|She is **terrible at** maths.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
terrified of|adjective|в ужасе от|2026-04-09|learning|||She is **terrified of** snakes.|He is **terrified of** heights.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
tired of|adjective|уставший от|2026-04-09|learning|||I'm **tired of** waiting.|She is **tired of** his excuses.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
typical of|adjective|типичный для|2026-04-09|learning|||This weather is **typical of** winter.|That's **typical of** him.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
unaware of|adjective|не осознающий|2026-04-09|learning|||She was **unaware of** the danger.|He is **unaware of** the problem.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
upset about|adjective|расстроенный из-за|2026-04-09|learning|||She is **upset about** the news.|I'm **upset about** losing my phone.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
used to|adjective|привыкший к|2026-04-09|learning|||She is **used to** waking up early.|I'm **used to** the cold weather.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
worried about|adjective|обеспокоенный чем-то|2026-04-09|learning|||She is **worried about** the exam.|I'm **worried about** my health.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
wrong with|adjective|не так с|2026-04-09|learning|||What's **wrong with** your car?|Something is **wrong with** the printer.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
access to|noun|доступ к|2026-04-09|learning|||She has **access to** the building.|Everyone needs **access to** clean water.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
advantage of|noun|преимущество чего-то|2026-04-09|learning|||What is the **advantage of** this method?|She took **advantage of** the opportunity.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
answer to|noun|ответ на|2026-04-09|learning|||What is the **answer to** this question?|There is no easy **answer to** the problem.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
attitude to|noun|отношение к|2026-04-09|learning|||She has a positive **attitude to** life.|His **attitude to** work is great.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
cause of|noun|причина чего-то|2026-04-09|learning|||What is the **cause of** the problem?|Stress is a major **cause of** illness.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
connection between|noun|связь между|2026-04-09|learning|||There is a **connection between** diet and health.|I see no **connection between** the two events.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
damage to|noun|ущерб чему-то|2026-04-09|learning|||The storm caused **damage to** the roof.|There was **damage to** the car.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
decrease in|noun|уменьшение в|2026-04-09|learning|||There was a **decrease in** sales.|We noticed a **decrease in** temperature.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
demand for|noun|спрос на|2026-04-09|learning|||There is a high **demand for** teachers.|The **demand for** organic food is growing.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
difference between|noun|разница между|2026-04-09|learning|||What is the **difference between** them?|There is a big **difference between** the two.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
difficulty with|noun|трудность с|2026-04-09|learning|||She has **difficulty with** spelling.|He has **difficulty with** the language.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
effect on|noun|влияние на|2026-04-09|learning|||Music has a calming **effect on** me.|The drug has no **effect on** the disease.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
example of|noun|пример чего-то|2026-04-09|learning|||This is a good **example of** teamwork.|Can you give an **example of** this rule?|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
experience of|noun|опыт в|2026-04-09|learning|||She has a lot of **experience of** teaching.|He has no **experience of** this kind of work.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
fall in|noun|падение в|2026-04-09|learning|||There was a **fall in** prices.|The **fall in** temperature was sudden.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
increase in|noun|увеличение в|2026-04-09|learning|||There was an **increase in** sales.|The **increase in** population is a problem.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
influence on|noun|влияние на|2026-04-09|learning|||Parents have a big **influence on** children.|Music has an **influence on** mood.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
interest in|noun|интерес к|2026-04-09|learning|||She has an **interest in** history.|He lost **interest in** the project.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
invitation to|noun|приглашение на|2026-04-09|learning|||I got an **invitation to** the wedding.|She received an **invitation to** the event.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
knowledge of|noun|знание чего-то|2026-04-09|learning|||She has good **knowledge of** English.|He has no **knowledge of** computers.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
lack of|noun|нехватка чего-то|2026-04-09|learning|||There is a **lack of** information.|The **lack of** sleep made him tired.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
need for|noun|потребность в|2026-04-09|learning|||There is a **need for** more teachers.|She felt a **need for** change.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
opinion of|noun|мнение о|2026-04-09|learning|||What is your **opinion of** the film?|She has a high **opinion of** him.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
photograph of|noun|фотография чего-то|2026-04-09|learning|||She showed me a **photograph of** her family.|He took a **photograph of** the sunset.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
possibility of|noun|возможность чего-то|2026-04-09|learning|||There is a **possibility of** rain.|The **possibility of** success is high.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
problem with|noun|проблема с|2026-04-09|learning|||There is a **problem with** the car.|She has a **problem with** her back.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
reason for|noun|причина для|2026-04-09|learning|||What is the **reason for** the delay?|She gave no **reason for** her absence.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
relationship between|noun|отношения между|2026-04-09|learning|||The **relationship between** them is good.|There is a strong **relationship between** exercise and health.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
reply to|noun|ответ на|2026-04-09|learning|||I got a **reply to** my email.|She sent a **reply to** the letter.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
report on|noun|отчёт о|2026-04-09|learning|||She wrote a **report on** the project.|The **report on** the accident is ready.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
rise in|noun|рост в|2026-04-09|learning|||There was a **rise in** prices.|The **rise in** crime is worrying.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
room for|noun|место для|2026-04-09|learning|||There is no **room for** mistakes.|Is there **room for** one more person?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
solution to|noun|решение чего-то|2026-04-09|learning|||We need a **solution to** this problem.|She found a **solution to** the puzzle.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
sympathy for|noun|сочувствие к|2026-04-09|learning|||I have **sympathy for** the victims.|She showed **sympathy for** the poor.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
talent for|noun|талант к|2026-04-09|learning|||She has a **talent for** music.|He has a natural **talent for** cooking.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
adjust to|verb|привыкать к|2026-04-09|learning|||She **adjusted to** the new time zone.|It took time to **adjust to** the cold.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
admire for|verb|восхищаться за|2026-04-09|learning|||I **admire** her **for** her courage.|He is **admired for** his honesty.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
aim for|verb|стремиться к|2026-04-09|learning|||She **aims for** perfection.|We **aim for** the best results.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
appeal to|verb|привлекать|2026-04-09|learning|||This idea **appeals to** me.|The film **appeals to** teenagers.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
benefit from|verb|извлекать пользу из|2026-04-09|learning|||Students **benefit from** extra practice.|She **benefited from** the course.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
boast about|verb|хвастаться чем-то|2026-04-09|learning|||He always **boasts about** his car.|She **boasted about** her marks.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
compete with|verb|конкурировать с|2026-04-09|learning|||She **competes with** the best.|We can't **compete with** their prices.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
confuse with|verb|путать с|2026-04-09|learning|||Don't **confuse** me **with** my brother.|People often **confuse** London **with** England.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
contribute to|verb|способствовать|2026-04-09|learning|||Exercise **contributes to** good health.|She **contributed to** the project.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
dedicate to|verb|посвящать чему-то|2026-04-09|learning|||She **dedicated** her life **to** science.|He **dedicated** the song **to** his mother.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
devote to|verb|посвящать чему-то|2026-04-09|learning|||She **devotes** time **to** her children.|He **devoted** his life **to** music.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
hint at|verb|намекать на|2026-04-09|learning|||She **hinted at** a surprise.|He **hinted at** leaving the company.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
inform about|verb|информировать о|2026-04-09|learning|||Please **inform** me **about** any changes.|She **informed** us **about** the delay.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
mistake for|verb|принимать за|2026-04-09|learning|||She **mistook** me **for** my brother.|He was **mistaken for** a tourist.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
profit from|verb|извлекать выгоду из|2026-04-09|learning|||She **profited from** the deal.|He **profited from** the experience.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
protect against|verb|защищать от|2026-04-09|learning|||This cream **protects against** the sun.|Vaccines **protect against** disease.|
quarrel with|verb|ссориться с|2026-04-09|learning|||She **quarrelled with** her neighbour.|Don't **quarrel with** your friends.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
specialize in|verb|специализироваться в|2026-04-09|learning|||She **specializes in** heart surgery.|He **specializes in** web design.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
struggle with|verb|бороться с|2026-04-09|learning|||She **struggles with** grammar.|He **struggles with** anxiety.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
subscribe to|verb|подписаться на|2026-04-09|learning|||She **subscribes to** three magazines.|I **subscribed to** their channel.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
substitute for|verb|заменять чем-то|2026-04-09|learning|||You can **substitute** butter **for** oil.|She **substituted** milk **for** cream.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
sympathize with|verb|сочувствовать|2026-04-09|learning|||I **sympathize with** her situation.|She **sympathized with** the victims.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
accustomed to|adjective|привыкший к|2026-04-09|learning|||She is **accustomed to** early mornings.|I'm **accustomed to** the noise.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
